,Code,Name,Market,Sector,Industry,Products,ListingDate,SettleMonth,Representative,HomePage,Region
2199,250030,진코스텍,KONEX,일반기업부,,,,,,,
2200,002780,진흥기업,KOSPI,,,,,,,,
2201,002787,진흥기업2우B,KOSPI,,,,,,,,
2202,002785,진흥기업우B,KOSPI,,,,,,,,
2203,233990,질경이,KONEX,일반기업부,,,,,,,
2204,025620,차AI헬스케어,KOSPI,,,,,,,,
2205,085660,차바이오텍,KOSDAQ,중견기업부,,,,,,,
2206,351870,차이커뮤니케이션,KOSDAQ,중견기업부,,,,,,,
2207,009310,참엔지니어링,KOSPI,,,,,,,,
2208,094850,참좋은여행,KOSDAQ,우량기업부,,,,,,,
2209,004650,창해에탄올,KOSDAQ,우량기업부,,,,,,,
2210,0011T0,채비,KOSDAQ,기술성장기업부,,,,,,,
2211,278280,천보,KOSDAQ,중견기업부,,,,,,,
2212,000650,천일고속,KOSPI,,,,,,,,
2213,362320,청담글로벌,KOSDAQ,중견기업부,,,,,,,
2214,066360,체리부로,KOSDAQ,우량기업부,,,,,,,
2215,033250,체시스,KOSPI,,,,,,,,
2216,047820,초록뱀미디어,KOSDAQ,중견기업부,,,,,,,
2217,094360,칩스앤미디어,KOSDAQ,벤처기업부,,,,,,,
2218,0082N0,카나프테라퓨틱스,KOSDAQ,기술성장기업부,,,,,,,
2219,016920,카스,KOSDAQ,중견기업부,,,,,,,
2220,284620,카이노스메드,KOSDAQ,투자주의환기종목(소속부없음),,,,,,,
2221,035720,카카오,KOSPI,,,,,,,,
2222,293490,카카오게임즈,KOSDAQ GLOBAL,중견기업부,,,,,,,
2223,323410,카카오뱅크,KOSPI,,,,,,,,
2224,377300,카카오페이,KOSPI,,,,,,,,
2225,140430,카티스,KOSDAQ,중견기업부,,,,,,,
2226,042000,카페24,KOSDAQ,우량기업부,,,,,,,
2227,006380,카프로,KOSPI,,,,,,,,
2228,313760,캐리,KOSDAQ,관리종목(소속부없음),,,,,,,
2229,071850,캐스텍코리아,KOSDAQ,투자주의환기종목(소속부없음),,,,,,,
2230,198080,캐프,KOSDAQ,우량기업부,,,,,,,
2231,210120,캔버스엔,KOSDAQ,중견기업부,,,,,,,
2232,050110,캠시스,KOSDAQ,중견기업부,,,,,,,
2233,452300,캡스톤파트너스,KOSDAQ,중견기업부,,,,,,,
2234,451760,컨텍,KOSDAQ,기술성장기업부,,,,,,,
2235,900310,컬러레이,KOSDAQ,외국기업(소속부없음),,,,,,,
2236,078340,컴투스,KOSDAQ GLOBAL,중견기업부,,,,,,,
2237,063080,컴투스홀딩스,KOSDAQ,중견기업부,,,,,,,
2238,307930,컴퍼니케이,KOSDAQ,중견기업부,,,,,,,
2239,079190,케스피온,KOSDAQ,벤처기업부,,,,,,,
2240,263700,케어랩스,KOSDAQ,중견기업부,,,,,,,
2241,214370,케어젠,KOSDAQ,벤처기업부,,,,,,,
2242,221980,케이디켐,KOSDAQ,우량기업부,,,,,,,
2243,038530,케이바이오랩스,KOSDAQ,중견기업부,,,,,,,
2244,279570,케이뱅크,KOSPI,,,,,,,,
2245,001620,케이비아이동국실업,KOSPI,,,,,,,,
2246,192250,케이사인,KOSDAQ,벤처기업부,,,,,,,
2247,431190,케이쓰리아이,KOSDAQ,기술성장기업부,,,,,,,
2248,029460,케이씨,KOSPI,,,,,,,,
2249,115500,케이씨에스,KOSDAQ,중견기업부,,,,,,,
2250,281820,케이씨텍,KOSPI,,,,,,,,
2251,089150,케이씨티,KOSDAQ,벤처기업부,,,,,,,
2252,025880,케이씨피드,KOSDAQ,우량기업부,,,,,,,
2253,093320,케이아이엔엑스,KOSDAQ,우량기업부,,,,,,,
2254,093640,케이알엠,KOSDAQ,벤처기업부,,,,,,,
2255,073010,케이에스피,KOSDAQ,우량기업부,,,,,,,
2256,105330,케이엔더블유,KOSDAQ,중견기업부,,,,,,,
2257,053080,케이엔솔,KOSDAQ,중견기업부,,,,,,,
2258,199430,케이엔알시스템,KOSDAQ,기술성장기업부,,,,,,,
2259,432470,케이엔에스,KOSDAQ,벤처기업부,,,,,,,
2260,272110,케이엔제이,KOSDAQ,우량기업부,,,,,,,
2261,039420,케이엘넷,KOSDAQ,중견기업부,,,,,,,
2262,083550,케이엠,KOSDAQ,중견기업부,,,,,,,
2263,032500,케이엠더블유,KOSDAQ,중견기업부,,,,,,,
2264,225430,케이엠제약,KOSDAQ,벤처기업부,,,,,,,
2265,102370,케이옥션,KOSDAQ,기술성장기업부,,,,,,,
2266,068100,케이웨더,KOSDAQ,기술성장기업부,,,,,,,
2267,106080,케이이엠텍,KOSDAQ,관리종목(소속부없음),,,,,,,
2268,455180,케이지에이,KOSDAQ,벤처기업부,,,,,,,
2269,381970,케이카,KOSPI,,,,,,,,
2270,145270,케이탑리츠,KOSPI,,,,,,,,
2271,036030,케이티알파,KOSDAQ,우량기업부,,,,,,,
2272,064820,케이프,KOSDAQ,우량기업부,,,,,,,
2273,024880,케이피에프,KOSDAQ,우량기업부,,,,,,,
2274,042040,케이피엠테크,KOSDAQ,중견기업부,,,,,,,
2275,054410,케이피티유,KOSDAQ,중견기업부,,,,,,,
2276,288180,케이피항공산업,KOSDAQ,중견기업부,,,,,,,
2277,258610,케일럼,KOSDAQ,중견기업부,,,,,,,
2278,274090,켄코아에어로스페이스,KOSDAQ,기술성장기업부,,,,,,,
2279,402420,켈스,KONEX,일반기업부,,,,,,,
2280,089010,켐트로닉스,KOSDAQ,우량기업부,,,,,,,
2281,220260,켐트로스,KOSDAQ,벤처기업부,,,,,,,
2282,176590,코나솔,KONEX,일반기업부,,,,,,,
2283,052400,코나아이,KOSDAQ,우량기업부,,,,,,,
2284,402030,코난테크놀로지,KOSDAQ,기술성장기업부,,,,,,,
2285,391710,코닉오토메이션,KOSDAQ,벤처기업부,,,,,,,
2286,046070,코다코,KOSDAQ,관리종목(소속부없음),,,,,,,
2287,047770,코데즈컴바인,KOSDAQ,중견기업부,,,,,,,
2288,080530,코디,KOSDAQ,중견기업부,,,,,,,
2289,417310,코람코더원리츠,KOSPI,,,,,,,,
2290,357120,코람코라이프인프라리츠,KOSPI,,,,,,,,
2291,104540,코렌텍,KOSDAQ,기술성장기업부,,,,,,,
2292,027050,코리아나,KOSDAQ,중견기업부,,,,,,,
2293,007815,코리아써우,KOSPI,,,,,,,,
2294,007810,코리아써키트,KOSPI,,,,,,,,
2295,00781K,코리아써키트2우B,KOSPI,,,,,,,,
2296,190650,코리아에셋투자증권,KOSDAQ,우량기업부,,,,,,,
2297,123410,코리아에프티,KOSDAQ,우량기업부,,,,,,,
2298,003690,코리안리,KOSPI,,,,,,,,
2299,036690,코맥스,KOSDAQ,관리종목(소속부없음),,,,,,,
2300,049430,코메론,KOSDAQ,우량기업부,,,,,,,
2301,183300,코미코,KOSDAQ GLOBAL,우량기업부,,,,,,,
2302,041960,코미팜,KOSDAQ,벤처기업부,,,,,,,
2303,089890,코세스,KOSDAQ,우량기업부,,,,,,,
2304,360350,코셈,KOSDAQ,기술성장기업부,,,,,,,
2305,189350,코셋,KONEX,일반기업부,,,,,,,
2306,082660,코스나인,KOSDAQ,관리종목(소속부없음),,,,,,,
2307,043710,코스리거글로벌,KOSDAQ,중견기업부,,,,,,,
2308,192820,코스맥스,KOSPI,,,,,,,,
2309,044820,코스맥스비티아이,KOSPI,,,,,,,,
2310,222040,코스맥스엔비티,KOSDAQ,중견기업부,,,,,,,
2311,241710,코스메카코리아,KOSDAQ,우량기업부,,,,,,,
2312,439960,코스모로보틱스,KOSDAQ,기술성장기업부,,,,,,,
2313,005070,코스모신소재,KOSPI,,,,,,,,
2314,005420,코스모화학,KOSPI,,,,,,,,
2315,355150,코스텍시스,KOSDAQ,벤처기업부,,,,,,,
2316,169670,코스텍시스템,KONEX,일반기업부,,,,,,,
2317,071950,코아스,KOSPI,,,,,,,,
2318,166480,코아스템켐온,KOSDAQ,벤처기업부,,,,,,,
2319,045970,코아시아,KOSDAQ,중견기업부,,,,,,,
2320,196450,코아시아씨엠,KOSDAQ,중견기업부,,,,,,,
2321,384470,코어라인소프트,KOSDAQ,기술성장기업부,,,,,,,
2322,002020,코오롱,KOSPI,,,,,,,,
2323,003070,코오롱글로벌,KOSPI,,,,,,,,
2324,003075,코오롱글로벌우,KOSPI,,,,,,,,
2325,102940,코오롱생명과학,KOSDAQ,중견기업부,,,,,,,
2326,002025,코오롱우,KOSPI,,,,,,,,
2327,120110,코오롱인더,KOSPI,,,,,,,,
2328,120115,코오롱인더우,KOSPI,,,,,,,,
2329,950160,코오롱티슈진,KOSDAQ,외국기업(소속부없음),,,,,,,
2330,021240,코웨이,KOSPI,,,,,,,,
2331,056360,코위버,KOSDAQ,벤처기업부,,,,,,,
