Date,Close,UpDown,Comp,Change,Open,High,Low,Volume,Amount,MarCap
2005-07-26,140.53,2,-0.02,-0.0001,140.58,141.18,139.95,145974087.0,2585333316755.0,442041859598840.0
2005-07-27,140.73,1,0.2,0.0014000000000000002,140.75,141.55,139.56,163590136.0,2663955342043.0,442530867538280.0
2005-07-28,142.38,1,1.65,0.011699999999999999,141.86,142.6,141.3,175786083.0,3016436393460.0,449106399225175.0
2005-07-29,143.32,1,0.94,0.0066,143.53,143.53,141.95,146995477.0,2705757570246.0,452155915993160.0
2005-08-01,143.96,1,0.64,0.0045000000000000005,143.67,144.1,142.84,121249719.0,2210813958081.0,454075103115885.0
2005-08-02,144.3,1,0.34,0.0024,144.12,144.3,143.14,140520203.0,2403980261246.0,455599000475290.0
2005-08-03,144.21,2,-0.09,-0.0006,145.4,145.81,144.18,195727988.0,3604957509989.0,455461806600325.0
2005-08-04,143.52,2,-0.69,-0.0048,144.55,144.89,142.7,164138410.0,3030942000319.0,453730007024285.0
2005-08-05,140.7,2,-2.82,-0.0196,141.9,142.32,140.1,128333350.0,2389062767830.0,444605003818835.0
2005-08-08,140.49,2,-0.21,-0.0015,139.78,140.68,139.5,96413782.0,1795949438911.0,443621398389880.0
2005-08-09,142.11,1,1.62,0.0115,140.01,142.12,139.47,125924165.0,2194222769812.0,448717660147345.0
2005-08-10,142.7,1,0.59,0.0042,142.59,144.02,142.07,134799851.0,2336339834800.0,450582222268175.0
2005-08-11,145.35,1,2.65,0.018600000000000002,142.64,145.35,142.61,133345450.0,2495163052530.0,458631956705310.0
2005-08-12,146.04,1,0.69,0.004699999999999999,145.75,146.25,144.81,139398397.0,2667584965498.0,461251956763530.0
2005-08-16,144.3,2,-1.74,-0.011899999999999999,146.26,147.11,144.17,134268155.0,2457305912620.0,455841381941130.0
2005-08-17,143.87,2,-0.43,-0.003,143.13,144.05,142.21,136141560.0,2337320588205.0,454464838414880.0
2005-08-18,141.16,2,-2.71,-0.018799999999999997,144.19,144.22,141.15,163889371.0,2745985409801.0,445721779911175.0
2005-08-19,140.68,2,-0.48,-0.0034000000000000002,140.55,141.09,139.23,143833050.0,2245012550600.0,444318075297270.0
2005-08-22,144.4,1,3.72,0.0264,141.48,144.4,140.97,131472808.0,2150810364005.0,455798628460555.0
2005-08-23,144.27,2,-0.13,-0.0009,144.61,145.17,143.32,151427417.0,3392676519270.0,455308001091845.0
2005-08-24,141.27,2,-3.0,-0.0208,143.71,143.72,140.48,135508416.0,2597206963376.0,446010314676500.0
2005-08-25,141.75,1,0.48,0.0034000000000000002,140.12,142.74,139.25,137567075.0,2454303215216.0,447491711460350.0
2005-08-26,140.36,2,-1.39,-0.0098,141.76,142.61,140.36,132601924.0,2146431047724.0,443036512399250.0
2005-08-29,137.42,2,-2.94,-0.0209,137.85,138.62,136.83,120887303.0,1874448124270.0,433743662145035.0
2005-08-30,138.68,1,1.26,0.0092,138.93,139.45,136.31,112620948.0,1921462552738.0,437756334652345.0
2005-08-31,140.09,1,1.41,0.0102,138.21,140.34,137.99,111137207.0,1856596795349.0,442232638703425.0
2005-09-01,143.13,1,3.04,0.0217,141.45,143.15,141.22,133430357.0,2366616433285.0,451650431009395.0
2005-09-02,144.3,1,1.17,0.008199999999999999,143.59,144.73,143.4,117640413.0,2254565904528.0,455462782990390.0
2005-09-05,144.06,2,-0.24,-0.0017000000000000001,144.88,145.1,143.72,96209709.0,1590544254752.0,454726242962345.0
2005-09-06,145.21,1,1.15,0.008,144.86,147.03,144.7,187731916.0,2513347771210.0,458250503862435.0
2005-09-07,147.95,1,2.74,0.0189,147.04,147.95,146.58,173315425.0,2697211256055.0,466943278384650.0
2005-09-08,148.41,1,0.46,0.0031,149.27,149.61,147.13,175475878.0,3386983809285.0,468250673842045.0
2005-09-09,149.34,1,0.93,0.0063,148.47,149.34,147.6,132435549.0,2388869876780.0,471097264308575.0
2005-09-12,150.13,1,0.79,0.0053,150.08,151.3,149.91,180343829.0,3373193943260.0,473436560373770.0
2005-09-13,150.29,1,0.16,0.0011,150.39,151.33,149.12,146858217.0,2844954785742.0,473700436000625.0
2005-09-14,152.03,1,1.74,0.0116,149.87,152.03,149.55,180256858.0,3345648512575.0,478895308066755.0
2005-09-15,151.99,2,-0.04,-0.0003,151.18,153.22,150.64,177644018.0,3573691408111.0,478350168018775.0
2005-09-16,152.55,1,0.56,0.0037,152.45,152.93,151.29,142919546.0,2849404898675.0,479893292204240.0
2005-09-20,154.69,1,2.14,0.013999999999999999,154.98,154.98,153.16,173096707.0,3435804653888.0,486563878067400.0
2005-09-21,155.34,1,0.65,0.0042,154.31,155.83,153.99,175283664.0,3075492241609.0,488620109231625.0
2005-09-22,155.71,1,0.37,0.0024,154.48,155.78,154.04,174128731.0,3202706584333.0,489651112435685.0
2005-09-23,152.39,2,-3.32,-0.0213,155.5,155.6,152.38,165150317.0,3260629404044.0,479120078676165.0
2005-09-26,156.39,1,4.0,0.0262,153.2,156.39,153.2,140458409.0,2883119300904.0,491633690174095.0
2005-09-27,156.52,1,0.13,0.0008,156.7,156.86,155.39,169303546.0,2903833042680.0,492032699397410.0
2005-09-28,158.88,1,2.36,0.0151,156.77,158.88,156.35,161101379.0,3285435746676.0,499526086634395.0
2005-09-29,159.06,1,0.18,0.0011,159.05,159.41,157.68,158452565.0,2980673907395.0,500084850117185.0
2005-09-30,157.55,2,-1.51,-0.0095,159.85,159.97,157.17,174583897.0,3235208335545.0,495362377413505.0
2005-10-04,160.43,1,2.88,0.0183,158.49,160.68,158.49,153984351.0,3170244636989.0,504296125937310.0
2005-10-05,158.1,2,-2.33,-0.014499999999999999,160.33,160.68,157.44,158881835.0,3163051027578.0,497222288569435.0
2005-10-06,154.65,2,-3.45,-0.0218,156.2,156.38,154.16,145303298.0,2866713566314.0,486535511258360.0
2005-10-07,154.4,2,-0.25,-0.0016,153.67,156.34,153.41,147964072.0,2997914286380.0,485841063803475.0
2005-10-10,157.82,1,3.42,0.0222,155.66,158.04,155.49,141765846.0,2657527492066.0,496593448850800.0
2005-10-11,160.06,1,2.24,0.014199999999999999,157.05,160.06,156.67,136723032.0,2495945594145.0,503477106299650.0
2005-10-12,156.33,2,-3.73,-0.0233,159.99,160.26,156.09,211737225.0,3492628477486.0,491318901412790.0
2005-10-13,152.85,2,-3.48,-0.0223,154.82,155.01,152.18,193637554.0,3898106985556.0,480404240297730.0
2005-10-14,152.48,2,-0.37,-0.0024,154.07,154.74,150.92,152068750.0,2980399335993.0,479300792496815.0
2005-10-17,150.85,2,-1.63,-0.010700000000000001,153.23,153.75,150.14,124008015.0,2317288719027.0,474188834740375.0
2005-10-18,152.26,1,1.41,0.009300000000000001,151.67,153.03,151.44,134403086.0,2609929033795.0,478350228618870.0
2005-10-19,148.11,2,-4.15,-0.0273,150.8,150.8,147.53,127181408.0,2467036643950.0,465341783239910.0
2005-10-20,149.41,1,1.3,0.0088,150.39,150.88,148.72,116485732.0,2292924213275.0,469366075230030.0
2005-10-21,152.22,1,2.81,0.018799999999999997,147.39,152.22,147.2,126085037.0,2542206559548.0,478324673913770.0
2005-10-24,152.27,1,0.05,0.0003,152.98,153.48,151.12,109294854.0,2105234258550.0,478458676591585.0
2005-10-25,151.76,2,-0.51,-0.0033,154.22,154.93,151.39,131649216.0,2448975945070.0,476935785728410.0
2005-10-26,151.45,2,-0.31,-0.002,152.18,152.46,150.35,120470206.0,2448353451850.0,475866385931675.0
2005-10-27,149.88,2,-1.57,-0.0104,150.92,152.46,149.59,172643231.0,3489890003725.0,470836791466715.0
2005-10-28,146.55,2,-3.33,-0.0222,147.58,147.74,146.11,111537923.0,2303170067705.0,460452851378290.0
2005-10-31,148.84,1,2.29,0.015600000000000001,148.15,149.09,146.84,94225100.0,1999185094068.0,467759691812350.0
2005-11-01,152.98,1,4.14,0.0278,149.9,153.33,149.83,153289898.0,3442968474690.0,480698322057645.0
2005-11-02,155.6,1,2.62,0.0171,153.8,155.68,153.28,123938597.0,2589361301010.0,488877330017925.0
2005-11-03,156.89,1,1.29,0.0083,157.21,157.21,156.05,117976649.0,2523470884295.0,493019171823930.0
2005-11-04,157.28,1,0.39,0.0025,157.53,158.35,156.34,148815818.0,2877538625100.0,494515798692685.0
2005-11-07,156.75,2,-0.53,-0.0034000000000000002,157.88,157.9,154.93,125413965.0,2352354286195.0,492865037014650.0
2005-11-08,157.72,1,0.97,0.0062,156.9,157.72,156.22,109785868.0,2392873491385.0,495895548836115.0
2005-11-09,157.87,1,0.15,0.001,157.44,159.39,156.65,132890564.0,3026510085344.0,496443294717770.0
2005-11-10,158.69,1,0.82,0.0052,157.76,158.8,157.39,154701678.0,3024856481504.0,499008462105550.0
2005-11-11,161.81,1,3.12,0.0197,160.36,161.89,160.36,161832823.0,3484484912835.0,508705979800115.0
2005-11-14,162.02,1,0.21,0.0013,162.3,162.6,161.39,154434163.0,3048474180541.0,509287116838295.0
2005-11-15,161.49,2,-0.53,-0.0033,161.62,162.0,159.19,130543905.0,2674476338618.0,507691021124560.0
2005-11-16,163.24,1,1.75,0.0108,160.74,163.27,160.4,167522115.0,3192682962725.0,513114165289440.0
2005-11-17,163.38,1,0.14,0.0009,163.13,163.93,162.16,158650401.0,2948221082415.0,513529369759935.0
2005-11-18,163.74,1,0.36,0.0022,164.4,164.92,162.63,168126050.0,3584164129288.0,514597430548080.0
2005-11-21,163.1,2,-0.64,-0.0039000000000000003,164.24,164.44,161.83,148150687.0,3145216724206.0,512641521775910.0
2005-11-22,159.68,2,-3.42,-0.021,162.64,162.65,159.23,166820454.0,3823790505543.0,501978968162925.0
2005-11-23,164.47,1,4.79,0.03,160.61,164.74,160.4,197204341.0,4554854896545.0,516823470795270.0
2005-11-24,165.56,1,1.09,0.0066,165.55,166.15,164.38,187195351.0,3907702101100.0,520179588374060.0
2005-11-25,165.51,2,-0.05,-0.0003,165.87,166.24,164.45,174166861.0,3015132536920.0,520265336909995.0
