,Code,Name,Close,RateCode,STR_CMP_PRC,Rate,Marcap,IDX_ID
763,004840,DRB동일,4035,2,-25,-0.62,77763988740,
764,004870,티웨이홀딩스,1128,1,6,0.53,25529683344,
765,0030R0,대신밸류리츠,3890,1,40,1.04,232544200000,
766,088260,이리츠코크렙,3175,2,-25,-0.78,201109548250,
767,145270,케이탑리츠,774,2,-3,-0.39,37199039076,
768,334890,이지스밸류플러스리츠,3665,2,-5,-0.14,254529423195,
769,338100,NH프라임리츠,3815,3,0,0.0,71187900000,
770,348950,제이알글로벌리츠,1182,0,0,0.0,233298432000,
771,350520,이지스레지던스리츠,3315,2,-10,-0.3,122211459630,
772,357250,미래에셋맵스리츠,1866,2,-10,-0.53,46640865930,
773,357430,마스턴프리미어리츠,966,2,-10,-1.02,29468126562,
774,377190,디앤디플랫폼리츠,2195,1,5,0.23,194038000000,
775,396690,미래에셋글로벌리츠,1436,2,-5,-0.35,56874129840,
776,400760,NH올원리츠,2790,2,-25,-0.89,153252677250,
777,404990,신한서부티엔디리츠,3640,2,-290,-7.38,224325410400,
778,417310,코람코더원리츠,2372,1,2,0.08,95828800000,
779,432320,KB스타리츠,1580,2,-1,-0.06,238207570300,
780,481850,신한글로벌액티브리츠,977,1,12,1.24,42477677728,
781,000020,동화약품,5180,1,40,0.78,144685014600,
782,000040,KR모터스,1137,2,-14,-1.22,22370515932,
783,000050,경방,8130,2,-40,-0.49,222886145100,
784,000140,하이트진로홀딩스,8060,1,10,0.12,187046525900,
785,000180,성창기업지주,5120,3,0,0.0,71425638400,
786,000220,유유제약,3850,2,-5,-0.13,60627728700,
787,000230,일동홀딩스,6180,2,-30,-0.48,71319672000,
788,000300,DH오토넥스,4200,0,0,0.0,174035631000,
789,000320,노루홀딩스,16720,2,-160,-0.95,222228044720,
790,000390,SP삼화,6690,1,80,1.21,181991207610,
791,000480,CR홀딩스,4425,2,-75,-1.67,207490418250,
792,000490,대동,8110,1,20,0.25,233785875150,
